"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",98.23735,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",98.26402,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",98.33881,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",98.44806,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",98.57767,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.73558,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.94161,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",99.21471,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.52611,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.846,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",100.1359,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.3577,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.4665,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.4478,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",100.3513,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",100.2347,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",100.1372,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",100.0553,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",100.0648,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",100.2161,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.5636,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.1229,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",101.7397,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",102.2412,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",102.5155,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",102.5006,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-02",102.2593,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-03",101.9112,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-04",101.5365,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-05",101.198,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-06",100.9249,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-07",100.7257,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-08",100.5974,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-09",100.5134,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-10",100.4469,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-11",100.4056,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-12",100.4062,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-01",100.434,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-02",100.4546,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-03",100.4018,
